provider_id,provider_name,specialty,phone_number,address,network_status
1,"Arellano, Davis and Rivera",Cardiology,+1-462-579-8888x77155,"33716 Andrea Vista Apt. 429
Josephton, AZ 73331",Out-of-network
2,Stanton-Peterson,General Practice,+1-516-448-0711x65437,"641 Anthony Underpass
Heathermouth, MP 30411",Out-of-network
3,"Singh, Kerr and Berry",General Practice,214-237-2962,"199 Stone Ville Apt. 971
South Drewburgh, VA 25758",In-network
4,Gordon-White,Dermatology,001-710-662-6882x9628,"773 Donaldson Squares
Matthewside, RI 16590",In-network
5,Bates-Cooper,General Practice,(673)253-4198x16421,"3329 Escobar Flat Apt. 311
North Michael, LA 47015",In-network
6,Turner Ltd,Pediatrics,(387)510-3423x03682,"055 Patel Circles Apt. 259
Ericchester, ID 25628",In-network
7,Stevens-Jackson,General Practice,+1-892-887-9576,"371 Tara Skyway
East Michael, WY 72402",Out-of-network
8,Kelly LLC,Cardiology,992.698.8433x521,"1177 Jerry Haven
Dixonfort, PW 82473",In-network
9,"Holder, Miller and Holmes",Dermatology,814.448.4930x261,"6716 Joanne Parks Apt. 370
Gabriellefurt, AL 01619",In-network
10,Bauer-Garcia,Cardiology,001-418-981-0491x22717,"PSC 1170, Box 9324
APO AP 00787",Out-of-network
11,Colon LLC,Pediatrics,5073572019,"5780 Christopher Rapids
South Wendyborough, LA 17255",In-network
12,Ferguson Inc,Oncology,883-288-5274,"4787 Hall Drives Apt. 867
Austinfort, MS 98609",Out-of-network
13,Hernandez PLC,Pediatrics,359.883.0139x194,"735 Stewart Mission Apt. 864
Pachecoland, ID 49409",In-network
14,"Knight, Brennan and Johnson",General Practice,(578)216-6393x355,"56692 Cynthia Forge Suite 081
East Jason, KY 96057",In-network
15,Williams PLC,Dermatology,497-294-5749,"158 Mcgrath Squares Suite 903
East Michael, HI 27331",In-network
16,James-Cook,Dermatology,922.509.4168,"USNS Avery
FPO AE 91691",In-network
17,"Townsend, Williams and Garcia",Oncology,461.743.0284,"396 Scott Brook
Robertmouth, GA 13427",In-network
18,Woods Group,Oncology,896-664-8427,"084 Wheeler Roads Apt. 300
Staceymouth, SD 75506",In-network
19,Ritter Group,Dermatology,999.521.5479x2055,"5230 Brooke Lodge
New Donna, TX 71776",Out-of-network
20,"Tapia, Peters and Martin",Dermatology,001-339-868-9901x92259,"309 Thompson Viaduct
Lake Deborahfurt, WY 19277",Out-of-network
21,Aguirre and Sons,Oncology,001-357-397-1467x287,"95406 Murray Cliffs
Ashleymouth, GA 34625",Out-of-network
22,Coleman-Thompson,Cardiology,(224)949-8514x24351,"59172 Lisa Plains
Lake Alyssaville, CA 27846",Out-of-network
23,"Wilson, Walsh and Norris",Dermatology,279.553.3821,"166 Schneider Crossroad
Lake Samantha, MP 61114",In-network
24,Bailey-Williams,Oncology,+1-525-592-6031x477,"47163 Matthew Fork
West Stephenfort, NV 22541",Out-of-network
25,Hardin Ltd,Cardiology,698-982-0607x9339,"PSC 5433, Box 8730
APO AA 53101",Out-of-network
26,"Larson, Mills and Thomas",Dermatology,331.781.4583x07818,"9673 Nash Stravenue
West Williamhaven, CO 76773",Out-of-network
27,Anderson and Sons,Pediatrics,001-773-546-5796x797,"26551 Perez Villages Suite 461
Brownport, KY 79768",Out-of-network
28,Gonzalez PLC,Pediatrics,(312)981-0049x585,"960 Stark Square Suite 752
Rebeccabury, NH 67474",In-network
29,Adams-Roberson,Cardiology,(310)354-3151x5347,"73205 Joseph Extensions Suite 482
Suzanneton, VI 15581",Out-of-network
30,Holt Inc,Dermatology,(863)228-0494,"3809 Cameron Road
Stevenshire, MH 03869",Out-of-network
31,"Scott, Johnson and Zamora",Pediatrics,826.586.9509x7485,"3542 Jones Mews Apt. 913
New Bryan, NY 25575",In-network
32,Estrada Inc,Pediatrics,482-921-7511,"USCGC Andrews
FPO AE 12167",Out-of-network
33,"Levine, Dillon and Sanchez",Pediatrics,(209)205-8467,"17353 Brennan Rest Suite 191
East Anthony, IN 60861",In-network
34,Walls PLC,Cardiology,674.887.0663x596,"4732 Miller Shoal Apt. 909
Browntown, CO 77183",In-network
35,Jackson-Alvarado,Oncology,001-939-827-3628x034,"346 Harper Knoll Apt. 643
Jerryview, PR 91870",In-network
36,Lee Ltd,Dermatology,2018178144,"186 Nicholas Station Apt. 862
Johnbury, WV 14363",Out-of-network
37,"Andrews, Carr and Gross",General Practice,299.793.9058x946,"936 Raymond Course Apt. 066
Harveymouth, HI 78975",Out-of-network
38,Clark-Bailey,Cardiology,742.705.5902x1037,"38306 Brady Lane Apt. 988
Annamouth, RI 42841",Out-of-network
39,"Salazar, Robinson and Young",Cardiology,3212152956,"1144 Tracy Plains
Randallmouth, AK 08588",In-network
40,Newman-Deleon,Oncology,(288)771-5531,"9043 Rogers Ranch Apt. 400
New Laurashire, PA 80786",Out-of-network
41,Swanson-Maldonado,Pediatrics,882-598-0602x876,"PSC 6387, Box 2513
APO AP 65477",Out-of-network
42,"Hopkins, Harris and Johnson",Dermatology,464.662.1521,"0965 Castro Mount Apt. 174
South Lucas, KS 70360",Out-of-network
43,"Weiss, Hernandez and Byrd",Dermatology,550-753-0815x2211,"PSC 1669, Box 3996
APO AA 90020",In-network
44,Campbell and Sons,General Practice,461.502.1254,"USS Hanson
FPO AE 27826",Out-of-network
45,Sutton-King,Cardiology,001-780-531-6306,"58392 Johnson Run Apt. 875
New Luisside, UT 31441",In-network
46,Shields Inc,Pediatrics,956.814.0781,"2479 Ortega Pines Apt. 818
Kristyhaven, AS 60841",In-network
47,Jones-Vargas,Pediatrics,584-453-4123,"210 Dennis Street
West Paul, WV 05556",Out-of-network
48,Singh LLC,Cardiology,9168502586,"238 Ware Turnpike
North Todd, NY 03860",In-network
49,"Armstrong, Adams and Collins",Dermatology,588-983-7139x831,"43541 Price Lakes Apt. 464
West Olivia, DC 97707",Out-of-network
50,"Johnson, Wilson and Baker",General Practice,7142765313,"1926 Dylan Grove Suite 203
East Edwardburgh, OK 88371",Out-of-network
51,"Richmond, Elliott and Rodriguez",Pediatrics,776.605.6735x90895,"USNS Park
FPO AP 26429",Out-of-network
52,"Brown, Camacho and Turner",Oncology,001-727-693-1826x619,"130 Francis Highway Suite 842
Roblesmouth, WV 95143",In-network
53,Perez-Cook,Oncology,+1-296-672-4158x925,"71135 Emily Fort Apt. 505
Johnsonville, IA 34593",In-network
54,"Fisher, Dudley and Phillips",General Practice,+1-987-891-8585x594,"531 Juan Springs
Jeremymouth, CA 24489",In-network
55,Hughes and Sons,Dermatology,001-781-713-7266x6925,"995 Ronald Squares Apt. 824
West Wesleyton, IA 29160",Out-of-network
56,Underwood-Lopez,Oncology,450-792-6485x8993,"5038 Ferguson Path
Ronaldport, PW 15241",In-network
57,Lyons-Fox,Oncology,(514)266-8166,"7431 Nunez Greens Suite 932
Port Shanestad, CO 97569",In-network
58,Morales Inc,Oncology,(539)657-5071x470,"97710 Santos Path Apt. 303
Port Vickie, VI 65006",In-network
59,"Sims, Mercer and Martinez",Pediatrics,001-322-500-7938,"USNV Martin
FPO AA 28692",Out-of-network
60,Martinez LLC,Dermatology,759.575.1163,"71573 Katie Parkway Apt. 481
Sarahborough, ID 20098",Out-of-network
61,Miller PLC,Cardiology,715.640.1220,"334 Hicks Flat
West Samuelhaven, IL 75372",In-network
62,Parsons LLC,General Practice,4946507759,"62909 Maurice Alley
Port Sean, AS 98414",In-network
63,"Brown, Nelson and Walker",Cardiology,(419)974-8641x064,"6772 Cindy Ford Suite 532
North Courtneymouth, AK 55193",In-network
64,Martinez-Lee,Dermatology,5775367572,"PSC 4693, Box 2302
APO AA 35436",Out-of-network
65,Martin-Jackson,Oncology,+1-706-554-7430x491,"8006 Gerald Lakes Apt. 063
Willieview, GU 73863",In-network
66,"Warner, Nelson and Smith",Oncology,803-264-5501,"6900 Michael Stream
Lake Stacymouth, WY 54517",Out-of-network
67,Barton-Mitchell,Cardiology,456-530-5786,"USNS Sparks
FPO AP 37169",Out-of-network
68,Brown-Miles,Pediatrics,+1-997-893-6206x80993,"70838 Sarah Burg Suite 456
Lake Krystalhaven, KY 80645",In-network
69,"Haynes, Johnson and Morrison",Cardiology,001-843-961-7200x126,"8386 Thomas Islands Apt. 579
Lake Jennyfort, UT 84467",Out-of-network
70,"Martin, Hall and Taylor",Pediatrics,001-812-247-6037x242,"32024 Green Underpass
Lake Billy, NM 38383",In-network
71,Williams Ltd,General Practice,263-875-0600x48824,"75831 Kathryn Estates
North Shirley, CA 37620",In-network
72,Gould and Sons,Cardiology,987-509-7611x38834,"047 Stacey Island Suite 207
Lorettachester, PR 02252",In-network
73,"Evans, Martin and Garcia",Dermatology,959-716-7300x6108,"76631 Bell Lights Suite 156
Longville, AZ 37866",In-network
74,"Brewer, Macdonald and Tran",General Practice,001-205-535-4707,"8932 Reese Terrace
West Joelfurt, PW 48831",Out-of-network
75,Fitzgerald Ltd,General Practice,(508)702-9884x12777,"091 Roberts Trace Suite 682
Stephensville, ID 93836",Out-of-network
76,Williams Inc,Oncology,001-438-635-9710,"085 Olson Flats
Laurenland, NJ 65253",Out-of-network
77,Fleming-Brooks,Cardiology,6828613197,"289 Robinson Key Apt. 328
Stewartland, WA 37619",Out-of-network
78,Patterson LLC,General Practice,(616)948-5877,"USNS Huffman
FPO AA 45897",In-network
79,Anderson and Sons,Cardiology,8689137320,"626 Vanessa Station Suite 090
Shieldsmouth, VI 22291",Out-of-network
80,Tate Ltd,Cardiology,862-737-2117,"PSC 2397, Box 3795
APO AP 96605",Out-of-network
81,Doyle Group,Dermatology,796.397.4562,"23546 Munoz Mission
Lake Melissafurt, FL 66301",In-network
82,"Cochran, Miller and Chapman",Pediatrics,846-373-6083x9119,"335 Lewis Hill Apt. 423
Cynthiastad, WY 86509",In-network
83,Hernandez LLC,Pediatrics,3536075414,"71361 Miller Summit Apt. 379
East Andrewview, NC 25575",In-network
84,"Ray, Ray and Jackson",Oncology,797.960.9387x355,"60132 Scott Mountains Apt. 836
Port David, UT 93946",Out-of-network
85,Patterson Ltd,Dermatology,001-419-403-0882,"594 Gonzalez Coves Suite 568
Christychester, AL 92082",Out-of-network
86,"Garcia, Davis and Murillo",Cardiology,603-663-6037x79721,"95127 Anthony Cove
Lake Erinville, OK 43795",Out-of-network
87,Carter Inc,Cardiology,+1-535-308-8894x317,"3250 Mcdonald Bypass
New Amy, FM 53803",Out-of-network
88,Ali-Gonzalez,General Practice,(365)765-0316x12135,"33832 Miller Bridge Suite 542
South Matthewberg, CT 49709",In-network
89,"White, Thompson and Warner",Pediatrics,267.650.9129,"PSC 8888, Box 7716
APO AP 60251",In-network
90,"Sherman, Frost and Johnson",Cardiology,001-627-315-1638x08065,"328 Scott Mills Suite 465
South Brett, TN 79626",In-network
91,Marsh PLC,Pediatrics,239.770.7049x478,"Unit 7319 Box 5473
DPO AP 53210",Out-of-network
92,Haynes Ltd,Pediatrics,+1-331-373-7360x01267,"62246 Jones Lakes Apt. 717
Staceyville, CO 45992",Out-of-network
93,Beltran LLC,General Practice,001-328-471-0129,"225 Karen Stream Suite 758
Porterton, AZ 76112",In-network
94,Warren PLC,Cardiology,+1-341-630-6697x749,"72186 Gonzales Avenue
East Christina, NY 91174",Out-of-network
95,Carr Ltd,Oncology,(417)642-7464,"892 Murphy Union
Blackburnville, PA 12802",In-network
96,Chen-Palmer,Cardiology,001-791-638-0208x45679,"8577 Graham Center
South Brianfort, AS 62186",In-network
97,Holt LLC,Oncology,301-912-5910,"800 Angela Station Suite 866
Melissaside, GU 64942",In-network
98,Howe Ltd,General Practice,(844)218-2579,"4399 Rivera Center Suite 889
Youngfort, WY 05041",In-network
99,Bridges-White,General Practice,(350)322-0148x87564,"3605 Sharon Crossroad Suite 182
Christinastad, UT 18687",In-network
100,Morales-Jones,Dermatology,(982)441-7457x7918,"0048 Ian Radial Apt. 273
Julieburgh, NC 76924",In-network
101,Paul-Mcdaniel,Oncology,(895)932-3889,"714 Tony Roads Suite 135
East Melissa, AZ 71676",In-network
102,Charles-White,Oncology,475-572-9073,"1026 Patricia Islands
Port Amy, MN 66511",Out-of-network
103,Matthews-Vega,Dermatology,001-541-579-4146,"40063 Linda Ports
New Sherryhaven, CA 23144",In-network
104,"Miller, Harper and Lindsey",Pediatrics,(512)612-6517x62169,"8684 Brandon Points Suite 105
Sheaside, MP 29255",In-network
105,"Graves, Butler and King",Cardiology,764.741.2913x23767,"Unit 7927 Box 9652
DPO AE 67609",In-network
106,Baker-Williams,Oncology,(895)264-1188,"86117 Brittany Light
Leahburgh, AR 05668",Out-of-network
107,Coleman-Martinez,Cardiology,001-773-817-0798x125,"5889 Lisa Alley Suite 642
Perezmouth, PA 11180",Out-of-network
108,Schwartz Group,General Practice,343-647-4621x940,"855 Virginia Greens Apt. 404
Wilsonbury, WI 36308",In-network
109,Cordova LLC,Pediatrics,229-986-3696x539,"4496 Daniel Islands
Millerside, OH 43467",Out-of-network
110,"Gonzalez, Cooper and Nguyen",Dermatology,(651)897-6024x51345,"44163 Stephenson Burgs
East Samanthaberg, MD 17273",In-network
111,Davila-Holland,Cardiology,666-806-3871x97183,"PSC 1650, Box 3850
APO AE 29258",Out-of-network
112,"Francis, Harris and Chen",Oncology,+1-434-399-8126x5389,"869 Kayla Lodge Suite 984
North Larrymouth, GU 21713",In-network
113,"Simpson, Harper and Lang",Dermatology,611-888-8746x603,"89729 Hunter Extensions
Schroederfort, NH 78952",In-network
114,Lozano-Greer,Pediatrics,817.235.0242x13459,"45501 Brian Cliffs Suite 331
Mercadoshire, MD 14907",In-network
115,Lambert PLC,Oncology,450-707-1277x9607,"Unit 2955 Box 2783
DPO AA 37166",In-network
116,"Johnson, Santos and Craig",Cardiology,679-903-8772x031,"455 Odonnell Drive Suite 111
South Justinstad, NJ 69837",Out-of-network
117,Hall-Wilkins,Pediatrics,260-237-9264,"331 Judy Hill
North Ricardofurt, VA 61028",In-network
118,Lee Group,Dermatology,340-598-5672x808,"93478 Rowland Stream
Port Kevin, VI 26933",In-network
119,Rodriguez-Rodriguez,General Practice,+1-867-584-6837x4196,"4029 Swanson Lodge
Matthewtown, IN 90275",Out-of-network
120,Serrano Ltd,Oncology,404-490-7447,"9864 Monica Light Apt. 850
New Patriciashire, MA 86995",Out-of-network
121,Arnold PLC,General Practice,8666402912,"79433 Michelle Rest Apt. 151
Port Ashley, MD 98950",Out-of-network
122,Holmes PLC,Cardiology,+1-209-381-8511x3667,"159 Anthony Ville Apt. 337
West Pamelaborough, NH 61918",Out-of-network
123,"Wolfe, Morales and Cross",Oncology,001-978-690-8074,"114 Amy Lodge Apt. 258
North Elizabeth, TN 96123",In-network
124,Atkinson PLC,Oncology,945-933-9576x9741,"752 Scott Lights Suite 431
Sweeneyburgh, SC 39556",In-network
125,"Ray, Moore and Rivera",General Practice,001-951-921-2241x190,"11611 Carter Neck
East Randyton, HI 90353",In-network
126,"Abbott, Cruz and Gonzales",Pediatrics,718-371-3968,"29829 Wendy Points Suite 202
West Staceychester, ND 09534",In-network
127,"Santos, Barker and Edwards",Cardiology,(690)282-5461,"419 Garcia Well
South Jasonmouth, MD 14822",Out-of-network
128,"Hughes, Moyer and Rodriguez",General Practice,549-520-5164x9551,"39140 Caroline Track Suite 885
West Candacefurt, IA 09972",Out-of-network
129,George Ltd,Dermatology,307.857.6205x046,"651 Tanya Divide
Lake Melissa, PR 36161",In-network
130,Randall PLC,Dermatology,268-941-4810,"424 Davis Pike Suite 405
Malikside, MH 91997",In-network
131,Moore Group,Cardiology,541-642-7665x338,"5621 White Station Apt. 624
South Sheila, NH 85706",In-network
132,Taylor-Crane,Dermatology,+1-384-529-8083x399,"93251 Kim Springs Suite 050
Kochtown, SD 66495",Out-of-network
133,Clark-Scott,Oncology,489.573.3774x8066,"718 Gordon Greens Apt. 151
Martinezville, SD 99140",Out-of-network
134,"Hickman, King and Durham",General Practice,001-553-806-9181,"9395 Meredith Meadows
South Carrieburgh, ID 58280",In-network
135,York-Mckinney,Pediatrics,2258392064,"USNS Hall
FPO AE 80969",In-network
136,"Hernandez, Horton and Zhang",Dermatology,2116827114,"073 Eileen Burgs
Manningtown, SD 44327",Out-of-network
137,Powers-Heath,Cardiology,926-541-7903,"450 Jessica Brook
Lake Matthewberg, NY 23014",In-network
138,"Wright, Smith and Wiley",Cardiology,913-261-3468x753,"5154 Hayes Freeway Suite 176
West Catherine, MH 09039",Out-of-network
139,Dawson-Joseph,General Practice,249-467-3569x44437,"3062 Sean Way
Lanemouth, MO 97110",In-network
140,Holt Group,General Practice,(611)971-6469,"5499 Morgan Rue
Madisonview, MO 32548",In-network
141,Carter-Gutierrez,Pediatrics,367.514.0117,"8750 Guzman Rue Apt. 664
North Juanburgh, ID 55143",Out-of-network
142,"Garrett, Whitney and Flores",General Practice,943-712-1358,"1225 Elizabeth Drive Apt. 672
Abigailborough, NJ 84291",In-network
